Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Stoc (total volum de activitate al instantei),Dosare solutionate,Incarcatura pe schema,Incarcatura pe judecator,Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Durata in zile (extras din portal, ca diferenta dintre data inregistrarii dosarului si data solutionarii)",Performanta pentru gogoasa,Operativitatea relativa,Incarcatura relativa,Siguranta relativa
Judecătoria BOLINTIN VALE,JudecatoriaBOLINTINVALE,105495,8,4453,3163,556.63,742.17,13%,8%,91,56.16%,94.71%,92.96%,74.25%
Judecătoria BOTOŞANI,JudecatoriaBOTOSANI,240507,28,39411,23825,1407.54,1713.52,13%,8%,161,20.67%,73.59%,92.88%,55.34%
Judecătoria BRAD,JudecatoriaBRAD,36892,3,2732,1849,910.67,910.67,13%,8%,101,18.83%,67.68%,75.32%,71.49%
Judecătoria BRĂILA,JudecatoriaBRAILA,230468,24,27763,21943,1028.26,1322.05,13%,8%,69,68.88%,101.62%,94.26%,80.22%
Judecătoria BRAŞOV,JudecatoriaBRASOV,384014,41,49668,37323,1182.57,1342.38,13%,8%,70,62.21%,85.30%,96.50%,80.02%
Judecătoria BREZOI,JudecatoriaBREZOI,30413,6,6160,2909,880,1026.67,13%,8%,124,0.00%,55.09%,66.24%,65.43%
Judecătoria BUFTEA,JudecatoriaBUFTEA,206050,15,23622,14276,1389.53,1817.08,13%,8%,121,35.39%,79.03%,91.18%,66.09%
Judecătoria BUHUŞI,JudecatoriaBUHUSI,37213,4,1925,1502,481.25,481.25,13%,8%,105,35.93%,78.03%,87.07%,70.48%
Judecătoria BUZĂU,JudecatoriaBUZAU,250318,27,45254,32646,1616.21,2381.79,13%,8%,118,50.66%,106.31%,90.48%,67.08%
Judecătoria CALAFAT,JudecatoriaCALAFAT,65482,5,5301,4387,1060.2,1060.2,13%,8%,59,50.79%,82.76%,83.81%,82.98%
Judecătoria CĂLĂRAŞI,JudecatoriaCALARASI,145094,11,8911,7778,742.58,742.58,13%,8%,47,69.37%,87.29%,94.88%,86.21%
Judecătoria CÂMPENI,JudecatoriaCAMPENI,49391,4,2586,2002,517.2,646.5,13%,8%,70,57.83%,96.77%,86.91%,79.89%
Judecătoria CÂMPINA,JudecatoriaCAMPINA,149552,13,9033,7038,694.85,694.85,13%,8%,70,56.92%,77.91%,95.35%,79.99%
Judecătoria CĂMPULUNG,JudecatoriaCAMPULUNG,126396,12,5558,4514,463.17,555.8,13%,8%,73,66.68%,97.46%,95.60%,79.12%
Judecătoria CÂMPULUNG MOLDOVENESC,JudecatoriaCAMPULUNGMOLDOVENESC,48664,5,3629,2893,604.83,725.8,13%,8%,68,55.91%,95.66%,85.09%,80.41%
Judecătoria CARACAL,JudecatoriaCARACAL,112148,13,8180,6659,629.23,629.23,13%,8%,73,56.75%,81.41%,94.39%,79.19%
Judecătoria CARANSEBEŞ,JudecatoriaCARANSEBES,102518,8,7347,6142,918.38,1049.57,13%,8%,62,63.23%,95.54%,89.76%,82.23%
Judecătoria CAREI,JudecatoriaCAREI,85249,5,4559,3373,759.83,911.8,13%,8%,82,52.11%,88.78%,89.30%,76.73%
Judecătoria CHIŞINEU CRIŞ,JudecatoriaCHISINEUCRIS,49144,2,1890,1628,945,945,13%,8%,51,51.99%,86.14%,80.77%,85.10%
Judecătoria CLUJ-NAPOCA,JudecatoriaCLUJNAPOCA,402777,43,38580,29068,857.33,918.57,13%,8%,67,62.01%,80.73%,97.72%,80.77%
Judecătoria CONSTANŢA,JudecatoriaCONSTANTA,434815,57,50245,37571,866.29,1141.93,13%,8%,84,65.39%,98.57%,97.37%,76.10%
Judecătoria CORABIA,JudecatoriaCORABIA,74445,5,3196,2273,639.2,799,13%,8%,98,46.59%,88.90%,89.27%,72.35%
Judecătoria CORNETU,JudecatoriaCORNETU,182688,16,18040,13269,1127.5,1503.33,13%,8%,121,46.59%,98.07%,91.77%,66.29%
Judecătoria COSTEŞTI,JudecatoriaCOSTESTI,66960,5,4818,4027,803,803,13%,8%,64,54.18%,83.58%,88.01%,81.71%
Judecătoria CRAIOVA,JudecatoriaCRAIOVA,447051,54,58349,45681,1080.54,1100.92,13%,8%,65,61.87%,79.77%,97.54%,81.23%
Judecătoria CURTEA DE ARGEŞ,JudecatoriaCURTEADEARGES,92520,8,4793,3880,599.13,599.13,13%,8%,78,53.84%,80.95%,93.52%,77.82%
Judecătoria DARABANI,JudecatoriaDarabani,42521,4,3586,2810,896.5,896.5,13%,8%,135,17.02%,78.36%,78.92%,62.40%
Judecătoria DEJ,JudecatoriaDEJ,59430,6,3548,2960,591.33,591.33,13%,8%,77,51.84%,83.43%,90.05%,78.17%
Judecătoria DETA,JudecatoriaDETA,49467,4,2715,2283,678.75,678.75,13%,8%,60,53.70%,84.09%,86.28%,82.59%
Judecătoria DEVA,JudecatoriaDEVA,109135,17,15120,12309,795.79,945,13%,8%,66,64.10%,96.67%,91.34%,81.07%
Judecătoria DOROHOI,JudecatoriaDOROHOI,72085,5,5569,4639,928.17,928.17,13%,8%,89,44.53%,83.30%,87.12%,74.96%
Judecătoria DRĂGĂŞANI,JudecatoriaDRAGASANI,60782,10,5649,4161,513.55,564.9,13%,8%,104,42.03%,81.02%,90.71%,70.89%
Judecătoria DRAGOMIREŞTI,JudecatoriaDRAGOMIRESTI,31874,2,1800,1592,600,900,13%,8%,37,72.29%,132.67%,71.76%,88.95%
Judecătoria DROBETA-TURNU SEVERIN,JudecatoriaDROBETATURNUSEVERIN,136655,21,21616,17968,800.59,864.64,13%,8%,61,64.73%,89.77%,93.67%,82.52%
Judecătoria FĂGĂRAŞ,JudecatoriaFAGARAS,72406,9,7666,5682,851.78,851.78,13%,8%,78,44.30%,74.12%,88.24%,77.76%
Judecătoria FĂGET,JudecatoriaFAGET,25620,5,1323,1080,264.6,264.6,13%,8%,89,46.11%,81.63%,89.67%,74.74%
Judecătoria FĂLTICENI,JudecatoriaFALTICENI,111917,8,5797,4683,724.63,828.14,13%,8%,70,61.58%,92.32%,92.60%,79.87%
Judecătoria FĂUREI,JudecatoriaFAUREI,50965,2,2426,2049,808.67,1213,13%,8%,83,58.01%,126.69%,76.20%,76.42%
Judecătoria FETEŞTI,JudecatoriaFETESTI,75554,6,8655,6752,1081.88,1442.5,13%,8%,125,36.53%,104.02%,80.91%,65.13%
Judecătoria FILIAŞI,JudecatoriaFILIASI,38648,3,2537,2068,845.67,845.67,13%,8%,87,34.38%,81.51%,78.12%,75.45%
Judecătoria FOCŞANI,JudecatoriaFOCSANI,251215,24,21466,15194,795.04,1129.79,13%,8%,110,55.76%,100.58%,95.50%,69.25%
Judecătoria GĂEŞTI,JudecatoriaGAESTI,93118,8,6876,5442,859.5,859.5,13%,8%,107,39.88%,79.14%,90.77%,69.95%
Judecătoria GALAŢI,JudecatoriaGALATI,304837,32,38303,25060,1063.97,1473.19,13%,8%,114,48.44%,90.59%,95.17%,68.03%
Judecătoria GHEORGHENI,JudecatoriaGHEORGHENI,50356,2,2755,2172,551,688.75,13%,8%,72,57.69%,98.55%,86.32%,79.52%
Judecătoria GHERLA,JudecatoriaGHERLA,62677,10,5114,3940,511.4,511.4,13%,8%,67,53.80%,77.04%,91.84%,80.91%
Judecătoria GIURGIU,JudecatoriaGIURGIU,175927,20,25098,20611,1254.9,1568.63,13%,8%,79,62.61%,102.65%,91.08%,77.56%
Judecătoria GURA HONŢ,JudecatoriaGURAHONT,34139,2,1443,1281,481,721.5,13%,8%,59,72.69%,133.16%,78.87%,82.96%
Judecătoria GURA HUMORULUI,JudecatoriaGURAHUMORULUI,54338,6,3308,2661,551.33,551.33,13%,8%,84,47.42%,80.44%,89.85%,76.13%
Judecătoria HÂRLĂU,JudecatoriaHARLAU,78036,5,3020,2153,604,604,13%,8%,110,36.14%,71.29%,92.26%,69.07%
Judecătoria HÂRŞOVA,JudecatoriaHARSOVA,25817,2,1225,986,612.5,612.5,13%,8%,84,32.82%,80.49%,76.28%,76.24%
Judecătoria HAŢEG,JudecatoriaHATEG,33417,3,1783,1186,594.33,594.33,13%,8%,128,16.50%,66.52%,82.21%,64.23%
Judecătoria HOREZU,JudecatoriaHOREZU,70049,6,3889,2441,555.57,777.8,13%,8%,125,36.40%,87.87%,88.90%,65.07%
Judecătoria HUEDIN,JudecatoriaHUEDIN,45817,4,1769,1339,442.25,442.25,13%,8%,91,43.22%,75.69%,90.35%,74.42%
Judecătoria HUNEDOARA,JudecatoriaHUNEDOARA,82206,8,6700,5646,744.44,837.5,13%,8%,54,65.66%,94.80%,89.81%,84.42%
Judecătoria HUŞI,JudecatoriaHUSI,75220,6,2861,2309,476.83,572.2,13%,8%,74,62.43%,96.85%,92.39%,78.78%
Judecătoria IAŞI,JudecatoriaIASI,500387,55,50303,43244,914.6,1117.84,13%,8%,70,74.20%,105.07%,97.77%,79.94%
Judecătoria INEU,JudecatoriaINEU,49701,5,3672,3393,734.4,734.4,13%,8%,37,64.98%,92.40%,85.22%,88.85%
Judecătoria ÎNSURĂŢEI,JudecatoriaINSURATEI,39779,1,2043,1557,681,1021.5,13%,8%,76,51.81%,114.32%,74.32%,78.44%
Judecătoria ÎNTORSURA BUZĂULUI,JudecatoriaINTORSURABUZAULUI,18986,3,939,702,313,313,13%,8%,97,33.19%,74.76%,83.51%,72.77%
Judecătoria JIBOU,JudecatoriaJIBOU,48376,3,1706,1425,426.5,426.5,13%,8%,86,50.05%,83.53%,91.18%,75.74%
Judecătoria LEHLIU-GARA,JudecatoriaLEHLIUGARA,48979,5,2181,1718,436.2,545.25,13%,8%,66,62.41%,98.46%,88.87%,81.09%
Judecătoria LIEŞTI,JudecatoriaLIESTI,54034,3,2285,1780,761.67,761.67,13%,8%,103,35.17%,77.90%,85.90%,70.93%
Judecătoria LIPOVA,JudecatoriaLIPOVA,40874,4,2236,1740,559,559,13%,8%,72,46.33%,77.82%,86.32%,79.42%
Judecătoria LUDUŞ,JudecatoriaLUDUS,55119,4,3614,3079,903.5,903.5,13%,8%,43,57.22%,85.20%,83.61%,87.19%
Judecătoria LUGOJ,JudecatoriaLUGOJ,84187,8,4099,3170,455.44,512.38,13%,8%,78,57.64%,87.00%,93.91%,77.90%
Judecătoria MACIN,JudecatoriaMACIN,44851,3,1788,1398,596,596,13%,8%,97,38.23%,78.19%,86.71%,72.53%
Judecătoria MANGALIA,JudecatoriaMANGALIA,93038,9,6695,5217,743.89,743.89,13%,8%,76,51.35%,77.92%,92.00%,78.46%
Judecătoria MARGHITA,JudecatoriaMARGHITA,89559,6,4179,3514,696.5,835.8,13%,8%,108,51.40%,100.90%,90.67%,69.81%
Judecătoria MEDGIDIA,JudecatoriaMEDGIDIA,130412,13,12525,10728,963.46,1043.75,13%,8%,63,63.70%,92.79%,92.00%,81.86%
Judecătoria MEDIAŞ,JudecatoriaMEDIAS,103584,11,5691,4935,474.25,517.36,13%,8%,50,72.59%,94.60%,95.01%,85.52%
Judecătoria MIERCUREA CIUC,JudecatoriaMIERCUREACIUC,110871,11,9968,8210,906.18,906.18,13%,8%,75,53.83%,82.36%,91.83%,78.67%
Judecătoria MIZIL,JudecatoriaMIZIL,54259,7,2752,2081,393.14,393.14,13%,8%,103,41.60%,75.62%,92.75%,71.10%
Judecătoria MOINEŞTI,JudecatoriaMOINESTI,121762,11,9997,7761,833.08,833.08,13%,8%,88,48.13%,77.63%,93.16%,75.05%
Judecătoria MOLDOVA-NOUĂ,JudecatoriaMOLDOVANOUA,24521,1,1569,1353,523,784.5,13%,8%,53,60.97%,129.35%,68.01%,84.66%
Judecătoria MORENI,JudecatoriaMORENI,56441,6,3961,3489,660.17,660.17,13%,8%,85,49.77%,88.08%,88.30%,76.04%
Judecătoria MOTRU,JudecatoriaMOTRU,49700,8,4831,3725,603.88,603.88,13%,8%,91,41.11%,77.11%,87.85%,74.29%
Judecătoria NĂSĂUD,JudecatoriaNASAUD,93038,7,5632,3527,804.57,1126.4,13%,8%,101,43.28%,87.67%,87.89%,71.45%
Judecătoria NEGREŞTI-OAŞ,JudecatoriaNEGRESTIOAS,61062,4,2733,1717,683.25,911,13%,8%,113,34.32%,83.77%,85.08%,68.46%
Judecătoria NOVACI,JudecatoriaNOVACI,27675,3,2949,2331,589.8,983,13%,8%,100,42.36%,131.74%,64.48%,71.96%
Judecătoria ODORHEIUL SECUIESC,JudecatoriaODORHEIULSECUIESC,117555,6,3560,3082,593.33,712,13%,8%,51,75.81%,103.89%,93.94%,85.00%
Judecătoria OLTENIŢA,JudecatoriaOLTENITA,112618,8,4776,3903,597,682.29,13%,8%,82,59.79%,93.40%,93.94%,76.84%
Judecătoria ONEŞTI,JudecatoriaONESTI,141101,14,9727,7105,648.47,694.79,13%,8%,60,60.19%,78.26%,95.08%,82.66%
Judecătoria ORADEA,JudecatoriaORADEA,284697,34,33138,25572,974.65,1104.6,13%,8%,90,55.93%,87.46%,96.12%,74.46%
Judecătoria ORAŞTIE,JudecatoriaORASTIE,34970,2,1634,1343,544.67,817,13%,8%,99,51.16%,123.29%,76.64%,72.10%
Judecătoria ORAVIŢA,JudecatoriaORAVITA,51579,5,2434,1643,486.8,486.8,13%,8%,121,28.40%,67.50%,90.56%,66.04%
Judecătoria ORŞOVA,JudecatoriaORSOVA,17458,5,1777,1360,355.4,355.4,13%,8%,80,35.73%,76.53%,79.64%,77.33%
Judecătoria PANCIU,JudecatoriaPANCIU,44825,4,4977,4496,995.4,1244.25,13%,8%,46,58.93%,112.92%,72.24%,86.43%
Judecătoria PAŞCANI,JudecatoriaPASCANI,158767,11,7909,6067,659.08,719,13%,8%,110,46.37%,83.68%,95.47%,69.09%
Judecătoria PĂTĂRLAGELE,JudecatoriaPATARLAGELE,58698,4,4934,4087,986.8,1233.5,13%,8%,62,55.71%,103.54%,78.99%,82.12%
Judecătoria PETROŞANI,JudecatoriaPETROSANI,121945,14,14470,11143,803.89,1033.57,13%,8%,69,64.46%,99.01%,91.52%,80.20%
Judecătoria PIATRA-NEAMT,JudecatoriaPIATRANEAMT,183595,22,15799,11076,718.14,789.95,13%,8%,98,47.10%,77.12%,95.70%,72.28%
Judecătoria PITEŞTI,JudecatoriaPITESTI,277563,32,41554,29797,1340.45,1484.07,13%,8%,104,45.44%,79.39%,94.65%,70.89%
Judecătoria PLOIEŞTI,JudecatoriaPLOIESTI,416681,37,57999,36871,1526.29,1999.97,13%,8%,154,30.90%,83.30%,95.20%,57.27%
Judecătoria PODU TURCULUI,JudecatoriaPODUTURCULUI,35512,3,2224,1855,741.33,1112,13%,8%,90,46.76%,125.11%,68.69%,74.67%
Judecătoria POGOANELE,JudecatoriaPOGOANELE,45147,5,2517,2067,629.25,629.25,13%,8%,81,45.47%,82.12%,86.06%,77.12%
Judecătoria PUCIOASA,JudecatoriaPUCIOASA,64166,4,2763,1792,690.75,690.75,13%,8%,152,14.96%,64.86%,89.23%,57.70%
Judecătoria RĂCARI,JudecatoriaRACARI,80726,6,4044,2619,577.71,1011,13%,8%,122,49.59%,113.34%,87.48%,65.81%
Judecătoria RĂDĂUŢI,JudecatoriaRADAUTI,164993,12,8853,6460,681,737.75,13%,8%,89,51.21%,79.05%,95.53%,74.84%
